# Black: TCG-HollowNoGo-Demo
# BlackCommand: ../pj-4-code-v1/nogo --shell --black="mcts N=5000 c=1 simenemy=a"
# BlackLabel: TCG-HollowNoGo-Demo:2021
# BlackVersion: 2021
# Date: December 12, 2021 at 11:08:58 PM CST
# Host: NV16 (Intel(R) Xeon(R) CPU E5-2678 v3 @ 2.50GHz)
# Komi: 0
# Referee: -
# Size: 9
# White: TCG-HollowNoGo-Demo
# WhiteCommand: ../pj-4-code-v1/nogo --shell --white="mcts N=5000 c=1 simenemy=random"
# WhiteLabel: TCG-HollowNoGo-Demo:2021
# WhiteVersion: 2021
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
221	B+R	B+R	B+R	0	-	59	8.9	9.2	0	0	0	
222	W+R	W+R	W+R	0	-	62	9.2	9.7	0	0	0	
223	B+R	B+R	B+R	0	-	61	9	9.6	0	0	0	
224	W+R	W+R	W+R	0	-	60	8.8	9.1	0	0	0	
225	B+R	B+R	B+R	0	-	63	9.1	9.5	0	0	0	
226	W+R	W+R	W+R	0	-	58	8.6	9.1	0	0	0	
227	B+R	B+R	B+R	0	-	63	8.9	9.4	0	0	0	
228	B+R	B+R	B+R	0	-	61	8.8	9.5	0	0	0	
229	B+R	B+R	B+R	0	-	61	9.2	10	0	0	0	
230	W+R	W+R	W+R	0	-	62	9.8	9.9	0	0	0	
231	W+R	W+R	W+R	0	-	62	9.2	9	0	0	0	
232	B+R	B+R	B+R	0	-	61	8.6	9.1	0	0	0	
233	B+R	B+R	B+R	0	-	63	10.3	11.3	0	0	0	
234	W+R	W+R	W+R	0	-	62	10.1	10.2	0	0	0	
235	W+R	W+R	W+R	0	-	62	9.7	9.9	0	0	0	
236	W+R	W+R	W+R	0	-	62	8.9	9.4	0	0	0	
237	B+R	B+R	B+R	0	-	61	8.8	9.3	0	0	0	
238	W+R	W+R	W+R	0	-	64	9.5	9.9	0	0	0	
239	B+R	B+R	B+R	0	-	61	8.6	9.1	0	0	0	
240	W+R	W+R	W+R	0	-	64	9.6	10	0	0	0	
241	W+R	W+R	W+R	0	-	64	9.6	10.1	0	0	0	
242	B+R	B+R	B+R	0	-	61	9.4	10.1	0	0	0	
243	B+R	B+R	B+R	0	-	63	9.2	9.8	0	0	0	
244	W+R	W+R	W+R	0	-	60	8.9	9.4	0	0	0	
245	W+R	W+R	W+R	0	-	60	9	9.6	0	0	0	
246	B+R	B+R	B+R	0	-	63	8.8	9.6	0	0	0	
247	W+R	W+R	W+R	0	-	64	9.4	9.9	0	0	0	
248	B+R	B+R	B+R	0	-	61	8.7	9.3	0	0	0	
249	B+R	B+R	B+R	0	-	65	10.1	10.8	0	0	0	
